"","source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"1","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","32","32","WEEK #32","2019-08-11","2019-08-12 16:00:11","2",NA
"2","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","33","33","WEEK #33","2019-08-18","2019-08-19 16:00:10","12",NA
"3","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","34","34","WEEK #34","2019-08-25","2019-08-26 16:18:06","29",NA
"4","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","35","35","WEEK #35","2019-09-01","2019-09-03 16:00:08","48",NA
"5","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","36","36","WEEK #36","2019-09-08","2019-09-09 16:00:08","57",NA
"6","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","37","37","WEEK #37","2019-09-15","2019-09-16 16:00:10","70",NA
"7","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","38","38","WEEK #38","2019-09-22","2019-09-23 16:00:07","81",NA
"8","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","31","31","WEEK #31","2018-08-05","2018-08-06 16:00:02","1",NA
"9","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","32","32","WEEK #32","2018-08-12","2018-08-13 16:00:02","10",NA
"10","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","33","33","WEEK #33","2018-08-19","2018-08-20 16:00:01","22",NA
"11","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","34","34","WEEK #34","2018-08-26","2018-08-27 16:00:02","28",NA
"12","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","35","35","WEEK #35","2018-09-02","2018-09-04 16:00:02","41",NA
"13","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","36","36","WEEK #36","2018-09-09","2018-09-11 12:27:46","54",NA
"14","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","37","37","WEEK #37","2018-09-16","2018-09-17 16:00:08","67",NA
"15","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","38","38","WEEK #38","2018-09-23","2018-09-24 16:00:08","77",NA
"16","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","39","39","WEEK #39","2018-09-30","2018-10-01 16:01:52","83",NA
"17","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","40","40","WEEK #40","2018-10-07","2018-10-09 16:00:09","88",NA
"18","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","41","41","WEEK #41","2018-10-14","2018-10-15 16:00:07","90",NA
"19","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","42","42","WEEK #42","2018-10-21","2018-10-22 16:00:06","93",NA
"20","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","43","43","WEEK #43","2018-10-28","2018-10-29 16:00:07","95",NA
"21","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT BOLLS OPENING","COTTON, UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","44","44","WEEK #44","2018-11-04","2018-11-05 16:00:09","98",NA
