"","source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"1","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","36","36","WEEK #36","2019-09-08","2019-09-09 16:00:08","0",NA
"2","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","37","37","WEEK #37","2019-09-15","2019-09-16 16:00:10","1",NA
"3","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2019","WEEKLY","38","38","WEEK #38","2019-09-22","2019-09-23 16:00:07","4",NA
"4","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","36","36","WEEK #36","2018-09-09","2018-09-11 12:27:46","0",NA
"5","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","37","37","WEEK #37","2018-09-16","2018-09-17 16:00:08","0",NA
"6","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","38","38","WEEK #38","2018-09-23","2018-09-24 16:00:08","2",NA
"7","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","39","39","WEEK #39","2018-09-30","2018-10-01 16:01:52","5",NA
"8","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","40","40","WEEK #40","2018-10-07","2018-10-09 16:00:09","19",NA
"9","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","41","41","WEEK #41","2018-10-14","2018-10-15 16:00:07","28",NA
"10","SURVEY","CROPS","FIELD CROPS","COTTON","UPLAND","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","PROGRESS","PCT HARVESTED","COTTON, UPLAND - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ALABAMA","2018","WEEKLY","42","42","WEEK #42","2018-10-21","2018-10-22 16:00:06","41",NA
