datum,year,,woy,date,NW,WC,SW,NC,C,SC,NE,EC,SE,STATE,
Days Suitable,1978,KS,19,19780508,,,,,,,,,,1.5,
Days Suitable,1978,KS,20,19780515,,,,,,,,,,2,
Days Suitable,1978,KS,21,19780522,,,,,,,,,,,
Days Suitable,1978,KS,22,19780527,,,,,,,,,,4,
Days Suitable,1978,KS,23,19780605,,,,,,,,,,,
Days Suitable,1978,KS,24,19780612,,,,,,,,,,3.5,
Days Suitable,1978,KS,25,19780619,,,,,,,,,,6.5,
Days Suitable,1978,KS,26,19780626,,,,,,,,,,4.5,
Days Suitable,1978,KS,27,19780703,,,,,,,,,,5.5,
Days Suitable,1978,KS,28,19780710,,,,,,,,,,6.5,
Days Suitable,1978,KS,29,19780717,,,,,,,,,,5.5,
Days Suitable,1978,KS,30,19780722,,,,,,,,,,6,
Days Suitable,1978,KS,31,19780729,,,,,,,,,,6.5,
Days Suitable,1978,KS,32,19780805,,,,,,,,,,5,
Days Suitable,1978,KS,33,19780812,,,,,,,,,,6,
Days Suitable,1978,KS,34,19780819,,,,,,,,,,6,
Days Suitable,1978,KS,35,19780826,,,,,,,,,,6.5,
Days Suitable,1978,KS,36,19780902,,,,,,,,,,6,
Days Suitable,1978,KS,37,19780909,,,,,,,,,,,
Days Suitable,1978,KS,38,19780916,,,,,,,,,,6,
Days Suitable,1978,KS,39,19780923,,,,,,,,,,4.5,
Days Suitable,1978,KS,40,19780930,,,,,,,,,,5.5,
Days Suitable,1978,KS,41,19781007,,,,,,,,,,,
Days Suitable,1978,KS,42,19781014,,,,,,,,,,6.5,
Days Suitable,1978,KS,43,19781021,,,,,,,,,,7,
Days Suitable,1978,KS,44,19781028,,,,,,,,,,6,
Days Suitable,1978,KS,45,19781104,,,,,,,,,,6.5,
Days Suitable,1978,KS,46,19781111,,,,,,,,,,5.5,
Days Suitable,1978,KS,47,19781118,,,,,,,,,,,
Days Suitable,1978,KS,48,19781125,,,,,,,,,,1,
Days Suitable,1979,KS,15,19790408,,,,,,,,,,0.5,
Days Suitable,1979,KS,16,19790415,,,,,,,,,,1.5,
Days Suitable,1979,KS,17,19790422,,,,,,,,,,3.5,
Days Suitable,1979,KS,18,19790429,,,,,,,,,,5,
Days Suitable,1979,KS,19,19790506,2.5,4.5,3,2,2.5,4,2,2,4.5,3,
Days Suitable,1979,KS,20,19790513,3,5,4,3.5,4.5,4,4.5,4.5,4.5,4.5,
Days Suitable,1979,KS,21,19790520,6,6.5,6.5,5,6,5,6,6,6,6,
Days Suitable,1979,KS,22,19790527,6,5,3.5,4,4,4,5,5,3,4,
Days Suitable,1979,KS,23,19790603,3.5,4.5,2.5,5.5,6,5,6.5,6,5.5,5,
Days Suitable,1979,KS,24,19790610,5.5,5.5,4.5,6,6,5,6.5,5.5,4.5,5.5,
Days Suitable,1979,KS,25,19790617,5,5.5,4.5,5,5,4.5,5,3.5,2.5,4.5,
Days Suitable,1979,KS,26,19790624,4.5,5,6.5,6,6,6,6.5,6,6,6,
Days Suitable,1979,KS,27,19790701,4.5,6,5.5,3.5,4.5,5,4,4,5,4.5,
Days Suitable,1979,KS,28,19790708,5,4.5,5.5,3,4.5,5.5,3.5,4,4,4.5,
Days Suitable,1979,KS,29,19790715,6,5.5,6,4.5,5,5.5,3,3.5,4,4.5,
Days Suitable,1979,KS,30,19790722,3.5,5.5,5,1,3,5,3,4.5,5.5,4,
Days Suitable,1979,KS,31,19790729,3,5,4.5,3,3.5,2.5,3.5,3,6,4,
Days Suitable,1979,KS,32,19790805,4.5,5,5,4.5,4.5,4.5,2.5,3,4.5,4,
Days Suitable,1979,KS,33,19790812,7,6.5,6,6.5,6,6.5,5.5,6,6,6,
Days Suitable,1979,KS,34,19790819,4,4.5,6,5,4,5.5,3,6,5,5,
Days Suitable,1979,KS,35,19790826,4,6,6.5,6.5,6,6.5,5.5,6.5,6,6,
Days Suitable,1979,KS,36,19790902,4.5,5.5,6,4.5,6.5,6,4,5,5,5,
Days Suitable,1979,KS,37,19790909,7,6.5,6.5,6,6.5,6,4.5,5,6,6,
Days Suitable,1979,KS,38,19790916,6.5,6.5,6.5,5.5,6.5,7,6.5,7,7,6.5,
Days Suitable,1979,KS,39,19790923,7,6.5,6.5,6.5,6.5,7,7,6.5,7,6.5,
Days Suitable,1979,KS,40,19790930,7,6.5,6.5,6.5,7,7,7,7,7,6.5,
Days Suitable,1979,KS,41,19791007,7,7,6,7,7,7,7,7,7,7,
Days Suitable,1979,KS,42,19791014,7,6.5,6.5,7,6.5,7,7,7,7,7,
Days Suitable,1979,KS,43,19791021,,,,,,,,,,,
Days Suitable,1979,KS,44,19791028,5,6,6.5,5,3,5.5,3,3,4,4.5,
Days Suitable,1979,KS,45,19791104,2.5,2.5,3,3,1,2,2,2,3,2.5,
Days Suitable,1979,KS,46,19791111,2.5,4.5,2.5,3.5,1.5,1.5,2.5,3.5,3.5,3,
Days Suitable,1979,KS,47,19791118,5,6,3.5,6,4,3.5,4,3.5,3,4,
Days Suitable,1979,KS,48,19791125,2.5,5,5,3,2.5,2.5,3,3,2,3,
Days Suitable,1979,KS,49,19791202,,,,,,,,,,4,
Days Suitable,1979,KS,50,19791209,,,,,,,,,,5.5,
Days Suitable,1979,KS,51,19791216,,,,,,,,,,5.5,
Days Suitable,1979,KS,52,19791223,,,,,,,,,,6,
Days Suitable,1980,KS,6,19800210,,,,,,,,,,1,
Days Suitable,1980,KS,7,19800217,,,,,,,,,,,
Days Suitable,1980,KS,8,19800225,,,,,,,,,,,
Days Suitable,1980,KS,9,19800202,,,,,,,,,,,
Days Suitable,1980,KS,10,19800309,,,,,,,,,,1,
Days Suitable,1980,KS,11,19800316,,,,,,,,,,1.5,
Days Suitable,1980,KS,12,19800323,,,,,,,,,,3.5,
Days Suitable,1980,KS,13,19800330,,,,,,,,,,1,
Days Suitable,1980,KS,14,19800406,,,,,,,,,,,
Days Suitable,1980,KS,15,19800413,,,,,,,,,,1.5,
Days Suitable,1980,KS,16,19800420,,,,,,,,,,3.5,
Days Suitable,1980,KS,17,19800427,,,,,,,,,,5.5,
Days Suitable,1980,KS,18,19800504,,,,,,,,,,5,
Days Suitable,1980,KS,19,19800511,5,4.5,2.5,6.5,5.5,5.5,7,7,5.5,5.5,
Days Suitable,1980,KS,20,19800518,4.5,5.5,5,6.5,5.5,5,7,6.5,5.5,5.5,
Days Suitable,1980,KS,21,19800525,3.5,3,2.5,3.5,4.5,3.5,5,5.5,5,4,
Days Suitable,1980,KS,22,19800601,6,4,2,4.5,4.5,3,5,5,5.5,4.5,
