"","X.3","X.2","X.1","X","source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV....","value"
"945",96100,96,96,9559,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2017,"WEEKLY",35,35,"WEEK #35","2017-09-03","2017-09-05 16:00:01",6.9,NA,6.9
"946",97100,97,97,9560,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2017,"WEEKLY",36,36,"WEEK #36","2017-09-10","2017-09-11 16:00:01",7,NA,7
"947",98100,98,98,9561,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2017,"WEEKLY",37,37,"WEEK #37","2017-09-17","2017-09-18 16:00:02",6.6,NA,6.6
"948",99100,99,99,9562,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2017,"WEEKLY",38,38,"WEEK #38","2017-09-24","2017-09-25 16:00:01",6.8,NA,6.8
"984",135100,135,135,9598,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2016,"WEEKLY",35,35,"WEEK #35","2016-09-04","2016-09-06 16:06:41",4.6,NA,4.6
"985",136100,136,136,9599,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2016,"WEEKLY",36,36,"WEEK #36","2016-09-11","2016-09-12 16:08:20",5.1,NA,5.1
"986",137100,137,137,9600,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2016,"WEEKLY",37,37,"WEEK #37","2016-09-18","2016-09-19 16:06:17",4.8,NA,4.8
"987",138100,138,138,9601,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2016,"WEEKLY",38,38,"WEEK #38","2016-09-25","2016-09-26 16:06:57",5.7,NA,5.7
"1022",17310,173,173,9636,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2015,"WEEKLY",35,35,"WEEK #35","2015-08-30","2015-08-31 16:05:21",6.1,NA,6.1
"1023",17410,174,174,9637,"SURVEY","CROPS","CROP TOTALS","FIELDWORK","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","DAYS SUITABLE","DAYS / WEEK","FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK","TOTAL","NOT SPECIFIED","STATE",20,20,"KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9000,"UNITED STATES","KANSAS",2015,"WEEKLY",36,36,"WEEK #36","2015-09-06","2015-09-08 16:16:37",6.9,NA,6.9
